image,ADI,BACK,LYM,STR,DEB,MUC,TUM,MUS,NORM
STR-RMLAGVCT,0,0,0,1,0,0,0,0,0
TUM-NYEFHLKY,0,0,0,0,0,0,1,0,0
ADI-LYVNAAVG,1,0,0,0,0,0,0,0,0
MUS-AQFGASSE,0,0,0,0,0,0,0,1,0
LYM-MIRWVCAL,0,0,1,0,0,0,0,0,0
MUC-ARCRKTIP,0,0,0,0,0,1,0,0,0
NORM-NMNIDNQW,0,0,0,0,0,0,0,0,1
DEB-NEPKMPFI,0,0,0,0,1,0,0,0,0
BACK-MQNKYYSR,0,1,0,0,0,0,0,0,0
TUM-QVCMGSRY,0,0,0,0,0,0,1,0,0
STR-GYFAYQPM,0,0,0,1,0,0,0,0,0
MUS-MQPEDMLN,0,0,0,0,0,0,0,1,0
LYM-VPISWSDN,0,0,1,0,0,0,0,0,0
ADI-QVIYWHSH,1,0,0,0,0,0,0,0,0
TUM-GNAIGHAM,0,0,0,0,0,0,1,0,0
DEB-THHVELAL,0,0,0,0,1,0,0,0,0
MUC-ESCRMIRA,0,0,0,0,0,1,0,0,0
BACK-FMYYVEFW,0,1,0,0,0,0,0,0,0
MUS-ELNNPVVA,0,0,0,0,0,0,0,1,0
NORM-RMFYIIFT,0,0,0,0,0,0,0,0,1
STR-MLKKTANE,0,0,0,1,0,0,0,0,0
LYM-GAESEIDN,0,0,1,0,0,0,0,0,0
ADI-DVMGEVFD,1,0,0,0,0,0,0,0,0
TUM-PVDGYHKA,0,0,0,0,0,0,1,0,0
MUS-LLQGMGAD,0,0,0,0,0,0,0,1,0
DEB-IKGSGGCS,0,0,0,0,1,0,0,0,0
BACK-DFKMNVLM,0,1,0,0,0,0,0,0,0
MUC-SGAKQNSS,0,0,0,0,0,1,0,0,0
LYM-VNFSDPHM,0,0,1,0,0,0,0,0,0
STR-EMEGKTSF,0,0,0,1,0,0,0,0,0
TUM-EEVPKQQI,0,0,0,0,0,0,1,0,0
NORM-MYESMHLY,0,0,0,0,0,0,0,0,1
ADI-IKPEMHMC,1,0,0,0,0,0,0,0,0
MUS-ADSCVPHM,0,0,0,0,0,0,0,1,0
DEB-IIVEYARM,0,0,0,0,1,0,0,0,0
BACK-GGCTCGIG,0,1,0,0,0,0,0,0,0
TUM-KPQCEYAC,0,0,0,0,0,0,1,0,0
LYM-NFFEHSYM,0,0,1,0,0,0,0,0,0
STR-SNWNWCWK,0,0,0,1,0,0,0,0,0
MUS-FIRAAQFI,0,0,0,0,0,0,0,1,0
MUC-TWMLYLLW,0,0,0,0,0,1,0,0,0
ADI-FVEPSDKR,1,0,0,0,0,0,0,0,0
NORM-TRFYIYLD,0,0,0,0,0,0,0,0,1
DEB-IYCMAQFF,0,0,0,0,1,0,0,0,0
TUM-KWTPKWNG,0,0,0,0,0,0,1,0,0
BACK-KQIREKFM,0,1,0,0,0,0,0,0,0
LYM-AQVFTLTN,0,0,1,0,0,0,0,0,0
MUS-CMGCYYIH,0,0,0,0,0,0,0,1,0
STR-NPYSNRHQ,0,0,0,1,0,0,0,0,0
ADI-RNETVGYM,1,0,0,0,0,0,0,0,0
TUM-WDWSWVYA,0,0,0,0,0,0,1,0,0
DEB-DIILWMHR,0,0,0,0,1,0,0,0,0
MUC-DHGVHFTS,0,0,0,0,0,1,0,0,0
NORM-HMEWKQAV,0,0,0,0,0,0,0,0,1
LYM-PQFEVKEN,0,0,1,0,0,0,0,0,0
MUS-PGQRAHMN,0,0,0,0,0,0,0,1,0
BACK-NCIQWLNL,0,1,0,0,0,0,0,0,0
TUM-GRPGLKRR,0,0,0,0,0,0,1,0,0
STR-NSFWEGQL,0,0,0,1,0,0,0,0,0
ADI-DEQSCLCF,1,0,0,0,0,0,0,0,0
DEB-YFFCGMPH,0,0,0,0,1,0,0,0,0
MUS-LIEVMWMG,0,0,0,0,0,0,0,1,0
MUC-LWFANLCT,0,0,0,0,0,1,0,0,0
LYM-WDFPSSWM,0,0,1,0,0,0,0,0,0
TUM-IKIQTRME,0,0,0,0,0,0,1,0,0
BACK-NPMRYGYY,0,1,0,0,0,0,0,0,0
NORM-ANRPDMPN,0,0,0,0,0,0,0,0,1
STR-FMQEHTDK,0,0,0,1,0,0,0,0,0
DEB-CPTGREAL,0,0,0,0,1,0,0,0,0
MUS-NYMFEHEQ,0,0,0,0,0,0,0,1,0
ADI-HWTICRGV,1,0,0,0,0,0,0,0,0
TUM-PISTEGLW,0,0,0,0,0,0,1,0,0
LYM-CMHHNGHT,0,0,1,0,0,0,0,0,0
MUC-IHAEFPHS,0,0,0,0,0,1,0,0,0
BACK-AMWKTTIR,0,1,0,0,0,0,0,0,0
NORM-HNCDCFLP,0,0,0,0,0,0,0,0,1
MUS-NRVDTCMS,0,0,0,0,0,0,0,1,0
STR-PTWKKYSL,0,0,0,1,0,0,0,0,0
DEB-ILHTNAWD,0,0,0,0,1,0,0,0,0
TUM-PGYQASIR,0,0,0,0,0,0,1,0,0
ADI-AKHCRASF,1,0,0,0,0,0,0,0,0
LYM-WSIHDMTY,0,0,1,0,0,0,0,0,0
BACK-DCETSYRY,0,1,0,0,0,0,0,0,0
MUS-DEESDAGT,0,0,0,0,0,0,0,1,0
MUC-YSVSHFNS,0,0,0,0,0,1,0,0,0
TUM-DGSWMCIW,0,0,0,0,0,0,1,0,0
DEB-ALDSTAIT,0,0,0,0,1,0,0,0,0
STR-LFAQYEDC,0,0,0,1,0,0,0,0,0
NORM-PWNAHSVY,0,0,0,0,0,0,0,0,1
ADI-EWRKYEFD,1,0,0,0,0,0,0,0,0
LYM-IAHWFCYA,0,0,1,0,0,0,0,0,0
MUS-CRDISIIT,0,0,0,0,0,0,0,1,0
TUM-REIGDGNC,0,0,0,0,0,0,1,0,0
BACK-CVTRDFNE,0,1,0,0,0,0,0,0,0
DEB-PLKECDYE,0,0,0,0,1,0,0,0,0
STR-GYWIAFNC,0,0,0,1,0,0,0,0,0
MUC-TRSRWNIW,0,0,0,0,0,1,0,0,0
LYM-CKVCKSKH,0,0,1,0,0,0,0,0,0
ADI-FNEFIKCE,1,0,0,0,0,0,0,0,0
MUS-TFVIITFS,0,0,0,0,0,0,0,1,0
TUM-WGIVMSHL,0,0,0,0,0,0,1,0,0
NORM-NDTQEQTR,0,0,0,0,0,0,0,0,1
BACK-ASAIYVMQ,0,1,0,0,0,0,0,0,0
DEB-TDWYWKLP,0,0,0,0,1,0,0,0,0
STR-IKEGSLYN,0,0,0,1,0,0,0,0,0
LYM-SGKVHTYD,0,0,1,0,0,0,0,0,0
TUM-GAVALCQG,0,0,0,0,0,0,1,0,0
MUS-NQNDFANN,0,0,0,0,0,0,0,1,0
ADI-QLYVMTEQ,1,0,0,0,0,0,0,0,0
MUC-EYPAITML,0,0,0,0,0,1,0,0,0
NORM-AYHSPNPS,0,0,0,0,0,0,0,0,1
BACK-FYHPFSDH,0,1,0,0,0,0,0,0,0
DEB-QYQKAQAY,0,0,0,0,1,0,0,0,0
TUM-HMQMKTGY,0,0,0,0,0,0,1,0,0
MUS-CHPNIMMY,0,0,0,0,0,0,0,1,0
LYM-RLVWCYEK,0,0,1,0,0,0,0,0,0
STR-KFVHVIKQ,0,0,0,1,0,0,0,0,0
ADI-QVDGTEGI,1,0,0,0,0,0,0,0,0
MUC-IPHILREF,0,0,0,0,0,1,0,0,0
TUM-KTSMFHNT,0,0,0,0,0,0,1,0,0
MUS-DEACVFRV,0,0,0,0,0,0,0,1,0
DEB-MFIPWCPS,0,0,0,0,1,0,0,0,0
BACK-MVCVIEWK,0,1,0,0,0,0,0,0,0
NORM-TNVTIFMI,0,0,0,0,0,0,0,0,1
LYM-NQKEWNVN,0,0,1,0,0,0,0,0,0
STR-IQNITWWE,0,0,0,1,0,0,0,0,0
ADI-AVQKRYWH,1,0,0,0,0,0,0,0,0
TUM-KDIWLGCL,0,0,0,0,0,0,1,0,0
MUS-TPTEHNDD,0,0,0,0,0,0,0,1,0
DEB-HMSQDNPW,0,0,0,0,1,0,0,0,0
MUC-EFKNEPDR,0,0,0,0,0,1,0,0,0
BACK-MFTHHASP,0,1,0,0,0,0,0,0,0
LYM-KKEKFQAT,0,0,1,0,0,0,0,0,0
NORM-CSSCQWKP,0,0,0,0,0,0,0,0,1
TUM-MIFQVHVK,0,0,0,0,0,0,1,0,0
STR-EERMVCAT,0,0,0,1,0,0,0,0,0
MUS-QKIKGDKD,0,0,0,0,0,0,0,1,0
ADI-RTDIFRED,1,0,0,0,0,0,0,0,0
DEB-EDENSIYG,0,0,0,0,1,0,0,0,0
LYM-MKSSPPTH,0,0,1,0,0,0,0,0,0
BACK-MFPNLYIC,0,1,0,0,0,0,0,0,0
TUM-CGFPHAFH,0,0,0,0,0,0,1,0,0
MUC-FILFSRDN,0,0,0,0,0,1,0,0,0
MUS-QQQTKIIQ,0,0,0,0,0,0,0,1,0
STR-RGCTRRFS,0,0,0,1,0,0,0,0,0
NORM-PNINTFFP,0,0,0,0,0,0,0,0,1
ADI-SFADTHVQ,1,0,0,0,0,0,0,0,0
DEB-THICEQVM,0,0,0,0,1,0,0,0,0
TUM-SWAHNFQY,0,0,0,0,0,0,1,0,0
LYM-EDPYCRQG,0,0,1,0,0,0,0,0,0
BACK-NSKFGYDF,0,1,0,0,0,0,0,0,0
MUS-TTQGRGVE,0,0,0,0,0,0,0,1,0
MUC-QRNRYCFE,0,0,0,0,0,1,0,0,0
STR-GQMWWFMS,0,0,0,1,0,0,0,0,0
TUM-GTDQRVVC,0,0,0,0,0,0,1,0,0
ADI-LEINVSWF,1,0,0,0,0,0,0,0,0
DEB-QVQQGVRS,0,0,0,0,1,0,0,0,0
NORM-IAENLLWD,0,0,0,0,0,0,0,0,1
LYM-EHCQFPPC,0,0,1,0,0,0,0,0,0
MUS-QDYCCGSG,0,0,0,0,0,0,0,1,0
BACK-NKQVFPQG,0,1,0,0,0,0,0,0,0
TUM-PGVSSEPQ,0,0,0,0,0,0,1,0,0
STR-WPLDKYES,0,0,0,1,0,0,0,0,0
MUC-CMCMWAEY,0,0,0,0,0,1,0,0,0
DEB-NPKNIMQE,0,0,0,0,1,0,0,0,0
ADI-SATKVCHI,1,0,0,0,0,0,0,0,0
MUS-NGIEPYPS,0,0,0,0,0,0,0,1,0
LYM-IGPDYASP,0,0,1,0,0,0,0,0,0
NORM-EVVDVLEI,0,0,0,0,0,0,0,0,1
TUM-VWYKQYNA,0,0,0,0,0,0,1,0,0
BACK-ARGHLWGV,0,1,0,0,0,0,0,0,0
STR-KDCWWDQK,0,0,0,1,0,0,0,0,0
MUS-MRIPGADY,0,0,0,0,0,0,0,1,0
DEB-FIGNAEYD,0,0,0,0,1,0,0,0,0
ADI-EHKRTGSA,1,0,0,0,0,0,0,0,0
LYM-FSPYATFP,0,0,1,0,0,0,0,0,0
TUM-WFPIPSME,0,0,0,0,0,0,1,0,0
MUC-LYAGSWEH,0,0,0,0,0,1,0,0,0
BACK-FGCNNDYD,0,1,0,0,0,0,0,0,0
NORM-KGMHSQNR,0,0,0,0,0,0,0,0,1
MUS-QLAHHYIA,0,0,0,0,0,0,0,1,0
DEB-DMDFHMQK,0,0,0,0,1,0,0,0,0
STR-INCPQDPT,0,0,0,1,0,0,0,0,0
TUM-MRQQQWIH,0,0,0,0,0,0,1,0,0
LYM-DKNFVVDV,0,0,1,0,0,0,0,0,0
ADI-MIDHTWYW,1,0,0,0,0,0,0,0,0
MUC-VYIRIEHL,0,0,0,0,0,1,0,0,0
MUS-PYCSEIID,0,0,0,0,0,0,0,1,0
BACK-ENWPTVKA,0,1,0,0,0,0,0,0,0
TUM-MFVTKHIG,0,0,0,0,0,0,1,0,0
DEB-QSSCIKMQ,0,0,0,0,1,0,0,0,0
NORM-KVPIVSDK,0,0,0,0,0,0,0,0,1
STR-HWNCQNSM,0,0,0,1,0,0,0,0,0
LYM-PAAMSRYD,0,0,1,0,0,0,0,0,0
ADI-IMCGDKQR,1,0,0,0,0,0,0,0,0
MUS-KVGQGWIT,0,0,0,0,0,0,0,1,0
TUM-MPSLGNSS,0,0,0,0,0,0,1,0,0
BACK-GFCEHKHK,0,1,0,0,0,0,0,0,0
MUC-LSDRVLHM,0,0,0,0,0,1,0,0,0
DEB-IWASFTHT,0,0,0,0,1,0,0,0,0
LYM-EQRGGKHQ,0,0,1,0,0,0,0,0,0
STR-KMPEELED,0,0,0,1,0,0,0,0,0
MUS-CNMQFSAH,0,0,0,0,0,0,0,1,0
NORM-PYMLQNKN,0,0,0,0,0,0,0,0,1
ADI-RPVQYASS,1,0,0,0,0,0,0,0,0
TUM-DWCNMFAP,0,0,0,0,0,0,1,0,0
BACK-CTHAKHSS,0,1,0,0,0,0,0,0,0
DEB-SMDQYMES,0,0,0,0,1,0,0,0,0
LYM-NFKLERAS,0,0,1,0,0,0,0,0,0
MUS-ACIQTEQG,0,0,0,0,0,0,0,1,0
MUC-CGQRTFTN,0,0,0,0,0,1,0,0,0
TUM-EVFDEHVE,0,0,0,0,0,0,1,0,0
STR-RACADAKG,0,0,0,1,0,0,0,0,0
ADI-HFCDCWAG,1,0,0,0,0,0,0,0,0
NORM-KECLCPCA,0,0,0,0,0,0,0,0,1
BACK-MAWTIERG,0,1,0,0,0,0,0,0,0
DEB-LSTKNENS,0,0,0,0,1,0,0,0,0
MUS-KAHDNVSL,0,0,0,0,0,0,0,1,0
TUM-EHDAFIKI,0,0,0,0,0,0,1,0,0
LYM-VDPTFYSV,0,0,1,0,0,0,0,0,0
STR-AVENAPWM,0,0,0,1,0,0,0,0,0
MUC-HYAWWGIP,0,0,0,0,0,1,0,0,0
ADI-ETLPACQY,1,0,0,0,0,0,0,0,0
MUS-HQQEKPNI,0,0,0,0,0,0,0,1,0
TUM-APHYDIDV,0,0,0,0,0,0,1,0,0
NORM-AFGVIFYI,0,0,0,0,0,0,0,0,1
DEB-KCWPETEM,0,0,0,0,1,0,0,0,0
BACK-HWSQMQNV,0,1,0,0,0,0,0,0,0
LYM-EDMYYTQL,0,0,1,0,0,0,0,0,0
STR-MNEHGNLD,0,0,0,1,0,0,0,0,0
ADI-IQFPGKPM,1,0,0,0,0,0,0,0,0
MUS-EVHPRGPY,0,0,0,0,0,0,0,1,0
TUM-VFHWEQLV,0,0,0,0,0,0,1,0,0
MUC-IRDPIVMY,0,0,0,0,0,1,0,0,0
DEB-ISRWGIYC,0,0,0,0,1,0,0,0,0
LYM-YMACVSAL,0,0,1,0,0,0,0,0,0
BACK-MWNKYRCE,0,1,0,0,0,0,0,0,0
NORM-NMHTKTEP,0,0,0,0,0,0,0,0,1
TUM-IDHFLLHS,0,0,0,0,0,0,1,0,0
MUS-EVCMPWCG,0,0,0,0,0,0,0,1,0
STR-YMEDEFCC,0,0,0,1,0,0,0,0,0
ADI-GANIFAPL,1,0,0,0,0,0,0,0,0
DEB-KIYVQMSW,0,0,0,0,1,0,0,0,0
LYM-ENTNDYNI,0,0,1,0,0,0,0,0,0
MUC-PYHPISTP,0,0,0,0,0,1,0,0,0
BACK-MLGPTWDT,0,1,0,0,0,0,0,0,0
TUM-VIDAESCP,0,0,0,0,0,0,1,0,0
MUS-KLFPNSAL,0,0,0,0,0,0,0,1,0
NORM-LDMQEDIN,0,0,0,0,0,0,0,0,1
STR-NLREIWSL,0,0,0,1,0,0,0,0,0
ADI-MTEHHKNN,1,0,0,0,0,0,0,0,0
DEB-FRYFAMVH,0,0,0,0,1,0,0,0,0
LYM-SHKCFPGQ,0,0,1,0,0,0,0,0,0
TUM-QDEAHCAY,0,0,0,0,0,0,1,0,0
MUS-ASGFCRDD,0,0,0,0,0,0,0,1,0
BACK-MEGWGNLN,0,1,0,0,0,0,0,0,0
MUC-YAQSVLNF,0,0,0,0,0,1,0,0,0
STR-CMKVVLSE,0,0,0,1,0,0,0,0,0
NORM-CGMSVYFE,0,0,0,0,0,0,0,0,1
TUM-EYAEARYY,0,0,0,0,0,0,1,0,0
ADI-RTFAHSER,1,0,0,0,0,0,0,0,0
DEB-KTGYCPHF,0,0,0,0,1,0,0,0,0
LYM-QDADMSYH,0,0,1,0,0,0,0,0,0
MUS-RTGTNEKV,0,0,0,0,0,0,0,1,0
BACK-KKFANVVK,0,1,0,0,0,0,0,0,0
MUC-KPVKQHQR,0,0,0,0,0,1,0,0,0
TUM-DWCGNWMN,0,0,0,0,0,0,1,0,0
STR-PIDSMHFN,0,0,0,1,0,0,0,0,0
MUS-APKRRLEG,0,0,0,0,0,0,0,1,0
DEB-IEPQWSHT,0,0,0,0,1,0,0,0,0
LYM-PGMATALP,0,0,1,0,0,0,0,0,0
ADI-RSYFYYWM,1,0,0,0,0,0,0,0,0
NORM-QESDHLIE,0,0,0,0,0,0,0,0,1
BACK-GNQVMRIC,0,1,0,0,0,0,0,0,0
TUM-QNVIFMMD,0,0,0,0,0,0,1,0,0
MUS-KRVWNDMW,0,0,0,0,0,0,0,1,0
DEB-CCGYLCLP,0,0,0,0,1,0,0,0,0
STR-RITLFACS,0,0,0,1,0,0,0,0,0
LYM-WMTHKCEL,0,0,1,0,0,0,0,0,0
MUC-FLFSERYD,0,0,0,0,0,1,0,0,0
ADI-CPHHYNAH,1,0,0,0,0,0,0,0,0
TUM-WRPTWKHR,0,0,0,0,0,0,1,0,0
NORM-EGWDGNHY,0,0,0,0,0,0,0,0,1
BACK-CCRNVPCW,0,1,0,0,0,0,0,0,0
MUS-DQMPNHHY,0,0,0,0,0,0,0,1,0
DEB-EVNSAIAI,0,0,0,0,1,0,0,0,0
LYM-YAMTHFTP,0,0,1,0,0,0,0,0,0
STR-YLCEYSVD,0,0,0,1,0,0,0,0,0
TUM-QEYMHGTM,0,0,0,0,0,0,1,0,0
ADI-GTCDVQFG,1,0,0,0,0,0,0,0,0
MUC-RIAAPGQA,0,0,0,0,0,1,0,0,0
MUS-FGCEHQPH,0,0,0,0,0,0,0,1,0
BACK-DSWGFNEN,0,1,0,0,0,0,0,0,0
NORM-IYCNPCYL,0,0,0,0,0,0,0,0,1
TUM-MPLIQYAY,0,0,0,0,0,0,1,0,0
DEB-HVEDILFY,0,0,0,0,1,0,0,0,0
LYM-SREMKRHI,0,0,1,0,0,0,0,0,0
STR-SHEKAWGT,0,0,0,1,0,0,0,0,0
MUS-ELTKIWAY,0,0,0,0,0,0,0,1,0
ADI-KSNDQPWL,1,0,0,0,0,0,0,0,0
MUC-CKIKLQEY,0,0,0,0,0,1,0,0,0
TUM-WKCINIET,0,0,0,0,0,0,1,0,0
BACK-FPYKKHHH,0,1,0,0,0,0,0,0,0
LYM-IQAGERMT,0,0,1,0,0,0,0,0,0
DEB-AAKCHALC,0,0,0,0,1,0,0,0,0
MUS-TYWTWCEH,0,0,0,0,0,0,0,1,0
NORM-RIHEFMIM,0,0,0,0,0,0,0,0,1
STR-KFMYLYYM,0,0,0,1,0,0,0,0,0
ADI-QMNWHSMC,1,0,0,0,0,0,0,0,0
TUM-AQTSLLKL,0,0,0,0,0,0,1,0,0
BACK-EQSYNGER,0,1,0,0,0,0,0,0,0
MUC-AKQARSHK,0,0,0,0,0,1,0,0,0
LYM-MQWGLIHP,0,0,1,0,0,0,0,0,0
MUS-GFVTSCPP,0,0,0,0,0,0,0,1,0
DEB-KAYLIKCT,0,0,0,0,1,0,0,0,0
TUM-KKMYCYWD,0,0,0,0,0,0,1,0,0
STR-EVIESVRA,0,0,0,1,0,0,0,0,0
NORM-FIDTRACF,0,0,0,0,0,0,0,0,1
ADI-HVGTCYLV,1,0,0,0,0,0,0,0,0
MUS-SIGGDRDP,0,0,0,0,0,0,0,1,0
BACK-FCNWDMGV,0,1,0,0,0,0,0,0,0
LYM-HNTCAMKS,0,0,1,0,0,0,0,0,0
DEB-YGEKINIP,0,0,0,0,1,0,0,0,0
TUM-CALMCDRV,0,0,0,0,0,0,1,0,0
MUC-NDERLMFI,0,0,0,0,0,1,0,0,0
STR-QNLLASKA,0,0,0,1,0,0,0,0,0
ADI-APMGQRPW,1,0,0,0,0,0,0,0,0
MUS-GQPYWVNR,0,0,0,0,0,0,0,1,0
NORM-HWARHRQV,0,0,0,0,0,0,0,0,1
TUM-IHRKNYTK,0,0,0,0,0,0,1,0,0
LYM-SEYGALFF,0,0,1,0,0,0,0,0,0
DEB-HQKWNHNY,0,0,0,0,1,0,0,0,0
BACK-GAFDEMHA,0,1,0,0,0,0,0,0,0
MUC-WITKKLHS,0,0,0,0,0,1,0,0,0
MUS-KQSWFKWR,0,0,0,0,0,0,0,1,0
STR-FCEMGHDL,0,0,0,1,0,0,0,0,0
TUM-NDKPVMYD,0,0,0,0,0,0,1,0,0
ADI-HQEKFWCL,1,0,0,0,0,0,0,0,0
LYM-MQRMDCTR,0,0,1,0,0,0,0,0,0
DEB-YMACSIST,0,0,0,0,1,0,0,0,0
BACK-EWACHKRM,0,1,0,0,0,0,0,0,0
NORM-NILARTTT,0,0,0,0,0,0,0,0,1
MUS-MFQMWAIN,0,0,0,0,0,0,0,1,0
TUM-KMYCSCND,0,0,0,0,0,0,1,0,0
STR-GSTLERIM,0,0,0,1,0,0,0,0,0
ADI-SHPTWQHK,1,0,0,0,0,0,0,0,0
MUC-QGYMAINT,0,0,0,0,0,1,0,0,0
LYM-FIHRMGTG,0,0,1,0,0,0,0,0,0
DEB-NGCVSQRP,0,0,0,0,1,0,0,0,0
BACK-KMSDEMYN,0,1,0,0,0,0,0,0,0
MUS-IVVHLGAD,0,0,0,0,0,0,0,1,0
TUM-MGFDIQLR,0,0,0,0,0,0,1,0,0
NORM-FGAIIIWT,0,0,0,0,0,0,0,0,1
STR-VNDLYCTA,0,0,0,1,0,0,0,0,0
LYM-PELTKHKI,0,0,1,0,0,0,0,0,0
ADI-RNSVGNCH,1,0,0,0,0,0,0,0,0
DEB-WVTMTVYA,0,0,0,0,1,0,0,0,0
MUS-PYNPNENS,0,0,0,0,0,0,0,1,0
TUM-KTTEGAWT,0,0,0,0,0,0,1,0,0
MUC-RINPMLTD,0,0,0,0,0,1,0,0,0
BACK-ECWDECGK,0,1,0,0,0,0,0,0,0
NORM-GASCTSIS,0,0,0,0,0,0,0,0,1
STR-HTHIGQDW,0,0,0,1,0,0,0,0,0
LYM-HAMHEFIW,0,0,1,0,0,0,0,0,0
TUM-VTIGKHDM,0,0,0,0,0,0,1,0,0
MUS-FVWGQALF,0,0,0,0,0,0,0,1,0
DEB-RYCLSRLG,0,0,0,0,1,0,0,0,0
ADI-LTVIMGHE,1,0,0,0,0,0,0,0,0
BACK-CVWLSFPQ,0,1,0,0,0,0,0,0,0
MUC-QSSYYPCN,0,0,0,0,0,1,0,0,0
TUM-FHLTSPFT,0,0,0,0,0,0,1,0,0
MUS-LYCKKQAT,0,0,0,0,0,0,0,1,0
LYM-LMDPYHCR,0,0,1,0,0,0,0,0,0
DEB-SRLDTPNV,0,0,0,0,1,0,0,0,0
STR-QADRRIGM,0,0,0,1,0,0,0,0,0
NORM-PTAETSSF,0,0,0,0,0,0,0,0,1
ADI-NIQFCCMM,1,0,0,0,0,0,0,0,0
BACK-DMKWYERT,0,1,0,0,0,0,0,0,0
TUM-YVLKCAPM,0,0,0,0,0,0,1,0,0
MUS-FQKPSWFY,0,0,0,0,0,0,0,1,0
MUC-QWDIRQNR,0,0,0,0,0,1,0,0,0
LYM-LNAPGQGD,0,0,1,0,0,0,0,0,0
DEB-NHNDVGCS,0,0,0,0,1,0,0,0,0
STR-FMHCMQCY,0,0,0,1,0,0,0,0,0
ADI-FCKAALWI,1,0,0,0,0,0,0,0,0
TUM-HEVNSFEY,0,0,0,0,0,0,1,0,0
NORM-HLEIEEKF,0,0,0,0,0,0,0,0,1
MUS-KNLSCQKR,0,0,0,0,0,0,0,1,0
BACK-GNAEVQNT,0,1,0,0,0,0,0,0,0
LYM-QNSPPQET,0,0,1,0,0,0,0,0,0
DEB-LFMLLIAE,0,0,0,0,1,0,0,0,0
MUC-DGWTFRLR,0,0,0,0,0,1,0,0,0
TUM-IIWHHHWT,0,0,0,0,0,0,1,0,0
STR-FRCADEVT,0,0,0,1,0,0,0,0,0
MUS-SVHTKWIQ,0,0,0,0,0,0,0,1,0
ADI-REQQCLMV,1,0,0,0,0,0,0,0,0
BACK-MGIKMSIK,0,1,0,0,0,0,0,0,0
NORM-INLKISNK,0,0,0,0,0,0,0,0,1
LYM-GWWGQQYA,0,0,1,0,0,0,0,0,0
TUM-GWYLWAKW,0,0,0,0,0,0,1,0,0
DEB-NLFEATHT,0,0,0,0,1,0,0,0,0
MUS-NIDHVQGI,0,0,0,0,0,0,0,1,0
STR-RVDHPDQR,0,0,0,1,0,0,0,0,0
MUC-TMIGVSYP,0,0,0,0,0,1,0,0,0
ADI-QKNLRGFA,1,0,0,0,0,0,0,0,0
BACK-DNPKFQWN,0,1,0,0,0,0,0,0,0
TUM-AWAGTFRF,0,0,0,0,0,0,1,0,0
LYM-KFYPREYP,0,0,1,0,0,0,0,0,0
DEB-DDILYCWM,0,0,0,0,1,0,0,0,0
MUS-LWVEKRKA,0,0,0,0,0,0,0,1,0
NORM-PHLFCFFM,0,0,0,0,0,0,0,0,1
STR-WKRSLCAK,0,0,0,1,0,0,0,0,0
ADI-GGFKSGCR,1,0,0,0,0,0,0,0,0
TUM-DDIFFCAD,0,0,0,0,0,0,1,0,0
MUC-NATHWCHD,0,0,0,0,0,1,0,0,0
LYM-CTNPARIM,0,0,1,0,0,0,0,0,0
BACK-MWDANYEN,0,1,0,0,0,0,0,0,0
MUS-TPIEYRTY,0,0,0,0,0,0,0,1,0
DEB-PTAYWCVY,0,0,0,0,1,0,0,0,0
NORM-VDLMIRRC,0,0,0,0,0,0,0,0,1
TUM-KWKKVRKV,0,0,0,0,0,0,1,0,0
STR-QNCTIEQN,0,0,0,1,0,0,0,0,0
ADI-PGHQMALY,1,0,0,0,0,0,0,0,0
MUS-GGDMWRAQ,0,0,0,0,0,0,0,1,0
LYM-GCWINFAD,0,0,1,0,0,0,0,0,0
BACK-NINGEFYP,0,1,0,0,0,0,0,0,0
DEB-YQSGWLSQ,0,0,0,0,1,0,0,0,0
MUC-DMIEAINA,0,0,0,0,0,1,0,0,0
TUM-RKHCWPCL,0,0,0,0,0,0,1,0,0
STR-QTFIEGFI,0,0,0,1,0,0,0,0,0
MUS-FNWGDKVH,0,0,0,0,0,0,0,1,0
NORM-GCENMASI,0,0,0,0,0,0,0,0,1
ADI-NTETRQYC,1,0,0,0,0,0,0,0,0
LYM-LMKHCFVG,0,0,1,0,0,0,0,0,0
TUM-QTDYNPCT,0,0,0,0,0,0,1,0,0
DEB-ILVKYCTS,0,0,0,0,1,0,0,0,0
BACK-FQRCYELA,0,1,0,0,0,0,0,0,0
MUC-WCFQNNIM,0,0,0,0,0,1,0,0,0
MUS-TSQMACDH,0,0,0,0,0,0,0,1,0
STR-PREEALKQ,0,0,0,1,0,0,0,0,0
TUM-GSDGPWPM,0,0,0,0,0,0,1,0,0
LYM-HWNEQQYH,0,0,1,0,0,0,0,0,0
ADI-CIFHCTWM,1,0,0,0,0,0,0,0,0
DEB-EVWIEMRM,0,0,0,0,1,0,0,0,0
NORM-YHMCIWHM,0,0,0,0,0,0,0,0,1
BACK-FVNDVFCI,0,1,0,0,0,0,0,0,0
MUS-GWWKSTST,0,0,0,0,0,0,0,1,0
TUM-HIGFVTKL,0,0,0,0,0,0,1,0,0
MUC-WVWFIMWA,0,0,0,0,0,1,0,0,0
LYM-IESTASGQ,0,0,1,0,0,0,0,0,0
STR-QHMCISFC,0,0,0,1,0,0,0,0,0
ADI-KYTQAFCV,1,0,0,0,0,0,0,0,0
DEB-ESYKCYHC,0,0,0,0,1,0,0,0,0
MUS-LNHMAHRG,0,0,0,0,0,0,0,1,0
BACK-KHIVLFDT,0,1,0,0,0,0,0,0,0
TUM-CLENMDPY,0,0,0,0,0,0,1,0,0
